alerted_at;match_key;home;away;kick_off;signal_type;bet;odds;opening_odds;pct_change;confidence;edge;snapshots;stake_model;stake;result;profit;resolved_at;reason
2026-02-08T12:38:49.514882;Nice W|Guingamp W;Nice W;Guingamp W;14:30;STEAM;1;1.52;1.65;-0.0788;0.7;0.0788;211;flat;1.0;;;;Steam move: odds dropped -7.9% | Sustained odds drop: 1.65 → 1.52 (-7.9%) | Other outcomes rising while this drops — market consensus | 211 snapshots — robust data
2026-02-08T12:38:49.518289;Pompei|Barletta;Pompei;Barletta;14:30;STEAM;2;1.63;1.83;-0.1093;0.7;0.1093;179;flat;1.0;;;;Steam move: odds dropped -10.9% | Sustained odds drop: 1.83 → 1.63 (-10.9%) | Strong drop >8% | 179 snapshots — robust data
2026-02-08T12:38:49.522543;Portogruaro|Mestre;Portogruaro;Mestre;14:30;STEAM;2;1.39;1.5;-0.0733;0.7;0.0733;208;flat;1.0;;;;Steam move: odds dropped -7.3% | Sustained odds drop: 1.50 → 1.39 (-7.3%) | Other outcomes rising while this drops — market consensus | 208 snapshots — robust data
2026-02-08T12:38:49.526136;Pro Sesto|Sasso Marconi;Pro Sesto;Sasso Marconi;14:30;STEAM;1;1.45;1.54;-0.0584;0.7;0.0584;208;flat;1.0;;;;Steam move: odds dropped -5.8% | Sustained odds drop: 1.54 → 1.45 (-5.8%) | Other outcomes rising while this drops — market consensus | 208 snapshots — robust data
2026-02-08T12:38:49.530285;Rukh Lviv (Ukr)|Rudes (Cro);Rukh Lviv (Ukr);Rudes (Cro);14:30;STEAM;1;2.28;2.88;-0.2083;0.7;0.2083;174;flat;1.0;loss;-1.0;2026-02-08T12:38:50.359223;Steam move: odds dropped -20.8% | Sustained odds drop: 2.88 → 2.28 (-20.8%) | Strong drop >8% | 174 snapshots — robust data
2026-02-08T12:38:49.533370;UNA|Roosendaal;UNA;Roosendaal;14:30;STEAM;2;1.99;2.39;-0.1674;0.7;0.1674;179;flat;1.0;;;;Steam move: odds dropped -16.7% | Sustained odds drop: 2.39 → 1.99 (-16.7%) | Strong drop >8% | 179 snapshots — robust data
2026-02-08T12:38:49.535936;Al Jahra|Al Salmiya;Al Jahra;Al Salmiya;14:40;STEAM;2;1.49;1.57;-0.051;0.7;0.051;169;flat;1.0;win;0.49;2026-02-08T12:38:50.362961;Steam move: odds dropped -5.1% | Sustained odds drop: 1.57 → 1.49 (-5.1%) | Other outcomes rising while this drops — market consensus | 169 snapshots — robust data
2026-02-08T12:38:49.538259;Al Riffa|Al-Hidd;Al Riffa;Al-Hidd;14:45;STEAM;1;1.34;1.44;-0.0694;0.7;0.0694;169;flat;1.0;loss;-1.0;2026-02-08T12:38:50.363746;Steam move: odds dropped -6.9% | Sustained odds drop: 1.44 → 1.34 (-6.9%) | Other outcomes rising while this drops — market consensus | 169 snapshots — robust data
2026-02-08T12:38:49.540894;ACR Messina|Enna;ACR Messina;Enna;15:00;STEAM;1;1.73;1.85;-0.0649;0.7;0.0649;177;flat;1.0;;;;Steam move: odds dropped -6.5% | Sustained odds drop: 1.85 → 1.73 (-6.5%) | Other outcomes rising while this drops — market consensus | 177 snapshots — robust data
2026-02-08T12:38:49.544559;Al Sahel|Nejmeh SC;Al Sahel;Nejmeh SC;15:00;STEAM;2;1.47;1.57;-0.0637;0.7;0.0637;174;flat;1.0;loss;-1.0;2026-02-08T12:38:50.369155;Steam move: odds dropped -6.4% | Sustained odds drop: 1.57 → 1.47 (-6.4%) | Other outcomes rising while this drops — market consensus | 174 snapshots — robust data
2026-02-08T12:38:49.547601;Baglan Dragons|Aberystwyth;Baglan Dragons;Aberystwyth;15:00;STEAM;2;2.26;2.39;-0.0544;0.7;0.0544;173;flat;1.0;win;1.26;2026-02-08T12:38:50.373928;Steam move: odds dropped -5.4% | Sustained odds drop: 2.39 → 2.26 (-5.4%) | Other outcomes rising while this drops — market consensus | 173 snapshots — robust data
2026-02-08T12:38:49.553296;Boom|Bocholter;Boom;Bocholter;15:00;STEAM;2;2.01;2.4;-0.1625;0.7;0.1625;179;flat;1.0;;;;Steam move: odds dropped -16.2% | Sustained odds drop: 2.40 → 2.01 (-16.2%) | Strong drop >8% | 179 snapshots — robust data
